canonical_asset_id,category,style,variant_or_digit,parent_package_id,screen,exact_location,visible_states,current_implementation,temporary_path_identifier,required_meshy_replacement,shop_use,gameplay_use,animation_states,reduced_motion_behavior,approved_reference_ids,meshy_generation_mode,meshy_task_ids,exact_requested_model,exact_resolved_model_version,prompt_reference,prompt_checksum,reference_input_paths_checksums,request_payload_path,response_payload_path,creation_timestamp,consumed_credits,retry_count,preserved_source_asset_path,provider_native_usdz_path,source_glb_path,runtime_usdz_path,lod_paths,texture_map_paths,source_checksum,runtime_checksum,registry_key,shop_renderer_path,gameplay_renderer_path,thumbnail_path,test_ids,screenshot_ids,author_run_id,reviewer_run_id,final_status,blocking_reason
env.floor.slab,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:980-983,bookstore|shop|category changes,Procedural SceneKit/runtime-generated leaf; 1 literal box; 1 current rendered instance(s).,procedural-scene:env.floor.slab,"Meshy-origin modular replacement for env.floor.slab, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.floor.seam,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:985-989,bookstore|shop|category changes,"Procedural SceneKit/runtime-generated leaf; stride(-5.7,5.7,0.72); 16 current rendered instance(s).",procedural-scene:env.floor.seam,"Meshy-origin modular replacement for env.floor.seam, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.runner.rug,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:991-993,bookstore|shop|category changes,Procedural SceneKit/runtime-generated leaf; 1 literal box; 1 current rendered instance(s).,procedural-scene:env.runner.rug,"Meshy-origin modular replacement for env.runner.rug, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.runner.edge,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:994-998,bookstore|shop|category changes,"Procedural SceneKit/runtime-generated leaf; x in [-1.31,1.31]; 2 current rendered instance(s).",procedural-scene:env.runner.edge,"Meshy-origin modular replacement for env.runner.edge, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.runner.weave,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:999-1004,bookstore|shop|category changes,"Procedural SceneKit/runtime-generated leaf; stride(-0.96,0.96,0.24); 9 current rendered instance(s).",procedural-scene:env.runner.weave,"Meshy-origin modular replacement for env.runner.weave, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.ceiling.slab,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1006-1008,bookstore|shop|category changes,Procedural SceneKit/runtime-generated leaf; 1 literal box; 1 current rendered instance(s).,procedural-scene:env.ceiling.slab,"Meshy-origin modular replacement for env.ceiling.slab, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.ceiling.beam.transverse,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1009-1013,bookstore|shop|category changes,"Procedural SceneKit/runtime-generated leaf; stride(-11,14,3.4); 8 current rendered instance(s).",procedural-scene:env.ceiling.beam.transverse,"Meshy-origin modular replacement for env.ceiling.beam.transverse, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.ceiling.beam.longitudinal,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1014-1018,bookstore|shop|category changes,"Procedural SceneKit/runtime-generated leaf; x in [-3.1,3.1]; 2 current rendered instance(s).",procedural-scene:env.ceiling.beam.longitudinal,"Meshy-origin modular replacement for env.ceiling.beam.longitudinal, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.ceiling.panel.inset,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1020-1029,bookstore|shop|category changes,"Procedural SceneKit/runtime-generated leaf; stride(-9.3,12.3,3.4)=7 * x in[-1.55,1.55]=2; 14 current rendered instance(s).",procedural-scene:env.ceiling.panel.inset,"Meshy-origin modular replacement for env.ceiling.panel.inset, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.ceiling.panel.pin,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1020-1029,bookstore|shop|category changes,"Procedural SceneKit/runtime-generated leaf; same loop as inset, 1 pin per inset; 14 current rendered instance(s).",procedural-scene:env.ceiling.panel.pin,"Meshy-origin modular replacement for env.ceiling.panel.pin, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
